        nu_e/omega_T             omega_r             omega_i            omega1_r            omega1_i            omega2_r            omega2_i
           205.01997             0.77932            -0.21317             0.00000             0.00000             0.81583            -0.31583
           207.84783             0.78099            -0.21428             0.00000             0.00000             0.81800            -0.31800
           210.67570             0.78265            -0.21537             0.00000             0.00000             0.82016            -0.32016
           213.50356             0.78429            -0.21646             0.00000             0.00000             0.82230            -0.32230
           216.33142             0.78592            -0.21753             0.00000             0.00000             0.82443            -0.32443
           219.15928             0.78754            -0.21860             0.00000             0.00000             0.82654            -0.32654
           221.98714             0.78914            -0.21965             0.00000             0.00000             0.82864            -0.32864
           224.81500             0.79073            -0.22070             0.00000             0.00000             0.83073            -0.33073
           227.64287             0.79231            -0.22174             0.00000             0.00000             0.83280            -0.33280
           230.47073             0.79388            -0.22277             0.00000             0.00000             0.83486            -0.33486
           233.29859             0.79544            -0.22379             0.00000             0.00000             0.83691            -0.33691
           236.12645             0.79698            -0.22480             0.00000             0.00000             0.83895            -0.33895
           238.95431             0.79852            -0.22581             0.00000             0.00000             0.84097            -0.34097
           241.78217             0.80004            -0.22680             0.00000             0.00000             0.84298            -0.34298
           244.61004             0.80155            -0.22779             0.00000             0.00000             0.84498            -0.34498
           247.43790             0.80305            -0.22877             0.00000             0.00000             0.84697            -0.34697
           250.26576             0.80454            -0.22975             0.00000             0.00000             0.84895            -0.34895
           253.09362             0.80602            -0.23071             0.00000             0.00000             0.85091            -0.35091
           255.92148             0.80749            -0.23167             0.00000             0.00000             0.85287            -0.35287
           258.74934             0.80895            -0.23262             0.00000             0.00000             0.85481            -0.35481
           261.57721             0.81040            -0.23357             0.00000             0.00000             0.85674            -0.35674
           264.40507             0.81184            -0.23451             0.00000             0.00000             0.85867            -0.35867
           267.23293             0.81327            -0.23544             0.00000             0.00000             0.86058            -0.36058
           270.06079             0.81469            -0.23636             0.00000             0.00000             0.86248            -0.36248
           272.88865             0.81610            -0.23728             0.00000             0.00000             0.86438            -0.36438
           275.71651             0.81750            -0.23819             0.00000             0.00000             0.86626            -0.36626
           278.54438             0.81889            -0.23910             0.00000             0.00000             0.86813            -0.36813
           281.37224             0.82028            -0.24000             0.00000             0.00000             0.87000            -0.37000
           284.20010             0.82165            -0.24089             0.00000             0.00000             0.87185            -0.37185
           287.02796             0.82302            -0.24178             0.00000             0.00000             0.87370            -0.37370
           289.85582             0.82438            -0.24266             0.00000             0.00000             0.87553            -0.37553
           292.68368             0.82573            -0.24353             0.00000             0.00000             0.87736            -0.37736
           295.51155             0.82707            -0.24440             0.00000             0.00000             0.87918            -0.37918
           298.33941             0.82841            -0.24527             0.00000             0.00000             0.88099            -0.38099
           301.16727             0.82974            -0.24613             0.00000             0.00000             0.88279            -0.38279
           303.99513             0.83106            -0.24698             0.00000             0.00000             0.88458            -0.38458
           306.82299             0.83237            -0.24783             0.00000             0.00000             0.88637            -0.38637
           309.65085             0.83367            -0.24867             0.00000             0.00000             0.88814            -0.38814
           312.47872             0.83497            -0.24951             0.00000             0.00000             0.88991            -0.38991
           315.30658             0.83626            -0.25034             0.00000             0.00000             0.89167            -0.39167
           318.13444             0.83754            -0.25117             0.00000             0.00000             0.89343            -0.39343
           320.96230             0.83882            -0.25199             0.00000             0.00000             0.89517            -0.39517
           323.79016             0.84008            -0.25281             0.00000             0.00000             0.89691            -0.39691
           326.61802             0.84135            -0.25362             0.00000             0.00000             0.89864            -0.39864
           329.44589             0.84260            -0.25443             0.00000             0.00000             0.90036            -0.40036
           332.27375             0.84385            -0.25523             0.00000             0.00000             0.90207            -0.40207
           335.10161             0.84509            -0.25603             0.00000             0.00000             0.90378            -0.40378
           337.92947             0.84632            -0.25682             0.00000             0.00000             0.90548            -0.40548
           340.75733             0.84755            -0.25761             0.00000             0.00000             0.90717            -0.40717
           343.58519             0.84877            -0.25840             0.00000             0.00000             0.90886            -0.40886
           346.41306             0.84999            -0.25918             0.00000             0.00000             0.91054            -0.41054
           349.24092             0.85120            -0.25996             0.00000             0.00000             0.91221            -0.41221
           352.06878             0.85240            -0.26073             0.00000             0.00000             0.91388            -0.41388
           354.89664             0.85360            -0.26150             0.00000             0.00000             0.91554            -0.41554
           357.72450             0.85479            -0.26226             0.00000             0.00000             0.91719            -0.41719
           360.55236             0.85598            -0.26302             0.00000             0.00000             0.91883            -0.41883
           363.38023             0.85716            -0.26378             0.00000             0.00000             0.92047            -0.42047
           366.20809             0.85833            -0.26453             0.00000             0.00000             0.92211            -0.42211
           369.03595             0.85950            -0.26528             0.00000             0.00000             0.92373            -0.42373
           371.86381             0.86066            -0.26602             0.00000             0.00000             0.92535            -0.42535
           374.69167             0.86182            -0.26676             0.00000             0.00000             0.92697            -0.42697
           377.51954             0.86297            -0.26750             0.00000             0.00000             0.92858            -0.42858
           380.34740             0.86411            -0.26823             0.00000             0.00000             0.93018            -0.43018
           383.17526             0.86526            -0.26896             0.00000             0.00000             0.93177            -0.43177
           386.00312             0.86639            -0.26968             0.00000             0.00000             0.93336            -0.43336
           388.83098             0.86752            -0.27041             0.00000             0.00000             0.93495            -0.43495
           391.65884             0.86865            -0.27112             0.00000             0.00000             0.93653            -0.43653
           394.48671             0.86977            -0.27184             0.00000             0.00000             0.93810            -0.43810
           397.31457             0.87088            -0.27255             0.00000             0.00000             0.93967            -0.43967
           400.14243             0.87199            -0.27326             0.00000             0.00000             0.94123            -0.44123
           402.97029             0.87310            -0.27396             0.00000             0.00000             0.94279            -0.44279
           405.79815             0.87420            -0.27466             0.00000             0.00000             0.94434            -0.44434
           408.62601             0.87529            -0.27536             0.00000             0.00000             0.94588            -0.44588
           411.45388             0.87638            -0.27606             0.00000             0.00000             0.94742            -0.44742
           414.28174             0.87747            -0.27675             0.00000             0.00000             0.94896            -0.44896
           417.10960             0.87855            -0.27744             0.00000             0.00000             0.95049            -0.45049
           419.93746             0.87963            -0.27812             0.00000             0.00000             0.95201            -0.45201
           422.76532             0.88070            -0.27880             0.00000             0.00000             0.95353            -0.45353
           425.59318             0.88177            -0.27948             0.00000             0.00000             0.95505            -0.45505
           428.42105             0.88283            -0.28016             0.00000             0.00000             0.95655            -0.45655
           431.24891             0.88389            -0.28083             0.00000             0.00000             0.95806            -0.45806
           434.07677             0.88494            -0.28150             0.00000             0.00000             0.95956            -0.45956
           436.90463             0.88599            -0.28217             0.00000             0.00000             0.96105            -0.46105
           439.73249             0.88704            -0.28283             0.00000             0.00000             0.96254            -0.46254
           442.56035             0.88808            -0.28349             0.00000             0.00000             0.96403            -0.46403
           445.38822             0.88912            -0.28415             0.00000             0.00000             0.96551            -0.46551
           448.21608             0.89015            -0.28481             0.00000             0.00000             0.96698            -0.46698
           451.04394             0.89118            -0.28546             0.00000             0.00000             0.96845            -0.46845
           453.87180             0.89221            -0.28611             0.00000             0.00000             0.96992            -0.46992
           456.69966             0.89323            -0.28675             0.00000             0.00000             0.97138            -0.47138
           459.52752             0.89424            -0.28740             0.00000             0.00000             0.97284            -0.47284
           462.35539             0.89526            -0.28804             0.00000             0.00000             0.97429            -0.47429
           465.18325             0.89627            -0.28868             0.00000             0.00000             0.97574            -0.47574
           468.01111             0.89727            -0.28932             0.00000             0.00000             0.97718            -0.47718
           470.83897             0.89827            -0.28995             0.00000             0.00000             0.97862            -0.47862
           473.66683             0.89927            -0.29058             0.00000             0.00000             0.98006            -0.48006
           476.49469             0.90027            -0.29121             0.00000             0.00000             0.98149            -0.48149
           479.32256             0.90126            -0.29184             0.00000             0.00000             0.98292            -0.48292
           482.15042             0.90224            -0.29246             0.00000             0.00000             0.98434            -0.48434
           484.97828             0.90322            -0.29308             0.00000             0.00000             0.98576            -0.48576
           487.80614             0.90420            -0.29370             0.00000             0.00000             0.98717            -0.48717
           490.63400             0.90518            -0.29432             0.00000             0.00000             0.98858            -0.48858
           493.46186             0.90615            -0.29493             0.00000             0.00000             0.98999            -0.48999
           496.28973             0.90712            -0.29554             0.00000             0.00000             0.99139            -0.49139
           499.11759             0.90809            -0.29615             0.00000             0.00000             0.99279            -0.49279
           501.94545             0.90905            -0.29676             0.00000             0.00000             0.99418            -0.49418
           504.77331             0.91001            -0.29736             0.00000             0.00000             0.99557            -0.49557
           507.60117             0.91096            -0.29797             0.00000             0.00000             0.99696            -0.49696
           510.42903             0.91191            -0.29857             0.00000             0.00000             0.99834            -0.49834
           513.25690             0.91286            -0.29916             0.00000             0.00000             0.99972            -0.49972
           516.08476             0.91381            -0.29976             0.00000             0.00000             1.00109            -0.50109
           518.91262             0.91475            -0.30035             0.00000             0.00000             1.00246            -0.50246
           521.74048             0.91569            -0.30094             0.00000             0.00000             1.00383            -0.50383
           524.56834             0.91662            -0.30153             0.00000             0.00000             1.00519            -0.50519
