             L_t/L_s             omega_r             omega_i            omega1_r            omega1_i            omega2_r            omega2_i
             7.93010            92.68559           -53.31934        174656.04986       -174655.55749          1101.71907         -1101.21912
             7.94010            92.80205           -53.38658        175207.18026       -175206.68792          1103.80271         -1103.30276
             7.95010            92.91851           -53.45382        175759.35281       -175758.86049          1105.88767         -1105.38772
             7.96010            93.03496           -53.52105        176312.56816       -176312.07587          1107.97394         -1107.47398
             7.97010            93.15142           -53.58829        176866.82698       -176866.33471          1110.06151         -1109.56156
             7.98010            93.26788           -53.65553        177422.12991       -177421.63767          1112.15040         -1111.65045
             7.99010            93.38433           -53.72276        177978.47761       -177977.98539          1114.24060         -1113.74065
             8.00010            93.50079           -53.79000        178535.87074       -178535.37855          1116.33210         -1115.83215
             8.01010            93.61725           -53.85724        179094.30995       -179093.81778          1118.42492         -1117.92496
             8.02010            93.73371           -53.92448        179653.79589       -179653.30375          1120.51903         -1120.01908
             8.03010            93.85016           -53.99171        180214.32922       -180213.83710          1122.61446         -1122.11451
             8.04010            93.96662           -54.05895        180775.91059       -180775.41849          1124.71119         -1124.21124
             8.05010            94.08308           -54.12619        181338.54065       -181338.04857          1126.80923         -1126.30927
             8.06010            94.19954           -54.19342        181902.22005       -181901.72800          1128.90856         -1128.40861
             8.07010            94.31599           -54.26066        182466.94944       -182466.45742          1131.00921         -1130.50925
             8.08010            94.43245           -54.32790        183032.72949       -183032.23749          1133.11115         -1132.61120
             8.09010            94.54891           -54.39513        183599.56083       -183599.06885          1135.21439         -1134.71444
             8.10010            94.66537           -54.46237        184167.44411       -184166.95216          1137.31894         -1136.81899
             8.11010            94.78182           -54.52961        184736.38000       -184735.88807          1139.42478         -1138.92483
             8.12010            94.89828           -54.59685        185306.36913       -185305.87723          1141.53192         -1141.03197
             8.13010            95.01474           -54.66408        185877.41215       -185876.92028          1143.64036         -1143.14041
             8.14010            95.13119           -54.73132        186449.50972       -186449.01787          1145.75010         -1145.25015
             8.15010            95.24765           -54.79856        187022.66249       -187022.17066          1147.86113         -1147.36118
             8.16010            95.36411           -54.86579        187596.87109       -187596.37929          1149.97346         -1149.47351
             8.17010            95.48057           -54.93303        188172.13618       -188171.64441          1152.08709         -1151.58714
             8.18010            95.59702           -55.00027        188748.45841       -188747.96666          1154.20201         -1153.70206
             8.19010            95.71348           -55.06750        189325.83842       -189325.34670          1156.31822         -1155.81827
             8.20010            95.82994           -55.13474        189904.27686       -189903.78516          1158.43572         -1157.93577
             8.21010            95.94640           -55.20198        190483.77437       -190483.28270          1160.55452         -1160.05457
             8.22010            96.06285           -55.26921        191064.33161       -191063.83996          1162.67460         -1162.17465
             8.23010            96.17931           -55.33645        191645.94921       -191645.45759          1164.79598         -1164.29603
             8.24010            96.29577           -55.40369        192228.62782       -192228.13622          1166.91864         -1166.41869
             8.25010            96.41222           -55.47093        192812.36808       -192811.87651          1169.04259         -1168.54265
             8.26010            96.52868           -55.53816        193397.17064       -193396.67910          1171.16784         -1170.66789
             8.27010            96.64514           -55.60540        193983.03615       -193982.54463          1173.29436         -1172.79441
             8.28010            96.76160           -55.67264        194569.96524       -194569.47374          1175.42218         -1174.92223
             8.29010            96.87805           -55.73987        195157.95856       -195157.46709          1177.55128         -1177.05133
             8.30010            96.99451           -55.80711        195747.01675       -195746.52530          1179.68166         -1179.18171
             8.31010            97.11097           -55.87435        196337.14045       -196336.64903          1181.81333         -1181.31338
             8.32010            97.22743           -55.94158        196928.33030       -196927.83891          1183.94628         -1183.44633
             8.33010            97.34388           -56.00882        197520.58696       -197520.09559          1186.08051         -1185.58056
             8.34010            97.46034           -56.07606        198113.91105       -198113.41971          1188.21602         -1187.71608
             8.35010            97.57680           -56.14330        198708.30321       -198707.81190          1190.35282         -1189.85287
             8.36010            97.69326           -56.21053        199303.76409       -199303.27281          1192.49089         -1191.99094
             8.37010            97.80971           -56.27777        199900.29433       -199899.80307          1194.63025         -1194.13030
             8.38010            97.92617           -56.34501        200497.89457       -200497.40333          1196.77088         -1196.27093
             8.39010            98.04263           -56.41224        201096.56544       -201096.07423          1198.91279         -1198.41284
             8.40010            98.15908           -56.47948        201696.30759       -201695.81640          1201.05597         -1200.55603
             8.41010            98.27554           -56.54672        202297.12165       -202296.63049          1203.20044         -1202.70049
             8.42010            98.39200           -56.61395        202899.00825       -202898.51712          1205.34617         -1204.84623
             8.43010            98.50846           -56.68119        203501.96805       -203501.47694          1207.49319         -1206.99324
             8.44010            98.62491           -56.74843        204106.00167       -204105.51059          1209.64147         -1209.14152
             8.45010            98.74137           -56.81567        204711.10975       -204710.61870          1211.79103         -1211.29108
             8.46010            98.85783           -56.88290        205317.29293       -205316.80190          1213.94186         -1213.44191
             8.47010            98.97429           -56.95014        205924.55184       -205924.06084          1216.09396         -1215.59402
             8.48010            99.09074           -57.01738        206532.88712       -206532.39615          1218.24734         -1217.74739
             8.49010            99.20720           -57.08461        207142.29941       -207141.80846          1220.40198         -1219.90204
             8.50010            99.32366           -57.15185        207752.78934       -207752.29842          1222.55789         -1222.05795
             8.51010            99.44012           -57.21909        208364.35753       -208363.86664          1224.71508         -1224.21513
             8.52010            99.55657           -57.28632        208977.00464       -208976.51378          1226.87353         -1226.37358
             8.53010            99.67303           -57.35356        209590.73129       -209590.24045          1229.03324         -1228.53330
             8.54010            99.78949           -57.42080        210205.53811       -210205.04730          1231.19422         -1230.69428
             8.55010            99.90594           -57.48803        210821.42574       -210820.93496          1233.35647         -1232.85653
             8.56010           100.02240           -57.55527        211438.39482       -211437.90406          1235.51999         -1235.02004
             8.57010           100.13886           -57.62251        212056.44596       -212055.95523          1237.68476         -1237.18482
             8.58010           100.25532           -57.68975        212675.57981       -212675.08910          1239.85080         -1239.35086
             8.59010           100.37177           -57.75698        213295.79699       -213295.30632          1242.01811         -1241.51816
             8.60010           100.48823           -57.82422        213917.09814       -213916.60749          1244.18667         -1243.68673
             8.61010           100.60469           -57.89146        214539.48389       -214538.99327          1246.35650         -1245.85655
             8.62010           100.72115           -57.95869        215162.95487       -215162.46428          1248.52758         -1248.02764
             8.63010           100.83760           -58.02593        215787.51171       -215787.02114          1250.69993         -1250.19999
             8.64010           100.95406           -58.09317        216413.15503       -216412.66449          1252.87354         -1252.37359
             8.65010           101.07052           -58.16040        217039.88547       -217039.39496          1255.04840         -1254.54845
             8.66010           101.18698           -58.22764        217667.70366       -217667.21317          1257.22452         -1256.72458
             8.67010           101.30343           -58.29488        218296.61022       -218296.11976          1259.40190         -1258.90195
             8.68010           101.41989           -58.36212        218926.60578       -218926.11535          1261.58053         -1261.08059
             8.69010           101.53635           -58.42935        219557.69098       -219557.20058          1263.76042         -1263.26048
             8.70010           101.65281           -58.49659        220189.86643       -220189.37606          1265.94156         -1265.44162
             8.71010           101.76926           -58.56383        220823.13277       -220822.64242          1268.12396         -1267.62402
             8.72010           101.88572           -58.63106        221457.49062       -221457.00030          1270.30761         -1269.80767
             8.73010           102.00218           -58.69830        222092.94061       -222092.45032          1272.49252         -1271.99257
             8.74010           102.11863           -58.76554        222729.48337       -222728.99310          1274.67867         -1274.17873
             8.75010           102.23509           -58.83277        223367.11951       -223366.62927          1276.86608         -1276.36613
             8.76010           102.35155           -58.90001        224005.84967       -224005.35946          1279.05473         -1278.55479
             8.77010           102.46801           -58.96725        224645.67447       -224645.18429          1281.24464         -1280.74469
             8.78010           102.58446           -59.03448        225286.59454       -225286.10438          1283.43579         -1282.93585
             8.79010           102.70092           -59.10172        225928.61049       -225928.12037          1285.62820         -1285.12825
             8.80010           102.81738           -59.16896        226571.72296       -226571.23286          1287.82185         -1287.32190
             8.81010           102.93384           -59.23620        227215.93256       -227215.44250          1290.01674         -1289.51680
             8.82010           103.05029           -59.30343        227861.23993       -227860.74989          1292.21289         -1291.71294
             8.83010           103.16675           -59.37067        228507.64568       -228507.15567          1294.41027         -1293.91033
             8.84010           103.28321           -59.43791        229155.15043       -229154.66045          1296.60891         -1296.10896
             8.85010           103.39967           -59.50514        229803.75481       -229803.26486          1298.80878         -1298.30884
             8.86010           103.51612           -59.57238        230453.45944       -230452.96952          1301.00990         -1300.50996
             8.87010           103.63258           -59.63962        231104.26494       -231103.77504          1303.21227         -1302.71232
             8.88010           103.74904           -59.70685        231756.17193       -231755.68206          1305.41587         -1304.91593
             8.89010           103.86549           -59.77409        232409.18104       -232408.69120          1307.62072         -1307.12077
             8.90010           103.98195           -59.84133        233063.29288       -233062.80306          1309.82680         -1309.32686
             8.91010           104.09841           -59.90857        233718.50807       -233718.01828          1312.03413         -1311.53418
             8.92010           104.21487           -59.97580        234374.82723       -234374.33748          1314.24269         -1313.74275
             8.93010           104.33132           -60.04304        235032.25099       -235031.76126          1316.45249         -1315.95255
             8.94010           104.44778           -60.11028        235690.77995       -235690.29025          1318.66354         -1318.16359
             8.95010           104.56424           -60.17751        236350.41475       -236349.92508          1320.87581         -1320.37587
             8.96010           104.68070           -60.24475        237011.15599       -237010.66635          1323.08933         -1322.58938
             8.97010           104.79715           -60.31199        237673.00430       -237672.51469          1325.30408         -1324.80413
             8.98010           104.91361           -60.37922        238335.96029       -238335.47071          1327.52006         -1327.02012
             8.99010           105.03007           -60.44646        239000.02458       -238999.53503          1329.73728         -1329.23734
             9.00010           105.14653           -60.51370        239665.19779       -239664.70827          1331.95573         -1331.45579
             9.01010           105.26298           -60.58093        240331.48054       -240330.99104          1334.17541         -1333.67547
             9.02010           105.37944           -60.64817        240998.87343       -240998.38397          1336.39633         -1335.89639
             9.03010           105.49590           -60.71541        241667.37709       -241666.88766          1338.61848         -1338.11854
             9.04010           105.61236           -60.78265        242336.99214       -242336.50273          1340.84186         -1340.34192
             9.05010           105.72881           -60.84988        243007.71918       -243007.22980          1343.06647         -1342.56653
             9.06010           105.84527           -60.91712        243679.55883       -243679.06948          1345.29230         -1344.79236
             9.07010           105.96173           -60.98436        244352.51171       -244352.02239          1347.51937         -1347.01943
             9.08010           106.07818           -61.05159        245026.57842       -245026.08914          1349.74767         -1349.24773
             9.09010           106.19464           -61.11883        245701.75960       -245701.27034          1351.97719         -1351.47725
             9.10010           106.31110           -61.18607        246378.05584       -246377.56661          1354.20794         -1353.70800
             9.11010           106.42756           -61.25330        247055.46776       -247054.97856          1356.43991         -1355.93997
             9.12010           106.54401           -61.32054        247733.99598       -247733.50680          1358.67311         -1358.17317
             9.13010           106.66047           -61.38778        248413.64110       -248413.15196          1360.90754         -1360.40760
             9.14010           106.77693           -61.45502        249094.40374       -249093.91463          1363.14319         -1362.64325
             9.15010           106.89339           -61.52225        249776.28451       -249775.79543          1365.38006         -1364.88012
             9.16010           107.00984           -61.58949        250459.28402       -250458.79497          1367.61816         -1367.11822
             9.17010           107.12630           -61.65673        251143.40289       -251142.91387          1369.85747         -1369.35753
             9.18010           107.24276           -61.72396        251828.64172       -251828.15273          1372.09801         -1371.59807
             9.19010           107.35922           -61.79120        252515.00112       -252514.51216          1374.33977         -1373.83983
             9.20010           107.47567           -61.85844        253202.48171       -253201.99278          1376.58275         -1376.08281
             9.21010           107.59213           -61.92567        253891.08410       -253890.59519          1378.82695         -1378.32701
             9.22010           107.70859           -61.99291        254580.80888       -254580.32001          1381.07236         -1380.57242
             9.23010           107.82505           -62.06015        255271.65668       -255271.16784          1383.31900         -1382.81906
             9.24010           107.94150           -62.12738        255963.62811       -255963.13930          1385.56685         -1385.06691
             9.25010           108.05796           -62.19462        256656.72376       -256656.23498          1387.81592         -1387.31598
             9.26010           108.17442           -62.26186        257350.94425       -257350.45550          1390.06621         -1389.56627
             9.27010           108.29088           -62.32910        258046.29019       -258045.80147          1392.31771         -1391.81777
             9.28010           108.40733           -62.39633        258742.76218       -258742.27349          1394.57042         -1394.07048
             9.29010           108.52379           -62.46357        259440.36083       -259439.87217          1396.82435         -1396.32441
             9.30010           108.64025           -62.53081        260139.08675       -260138.59812          1399.07949         -1398.57955
             9.31010           108.75670           -62.59804        260838.94055       -260838.45195          1401.33585         -1400.83591
             9.32010           108.87316           -62.66528        261539.92282       -261539.43426          1403.59342         -1403.09348
             9.33010           108.98962           -62.73252        262242.03419       -262241.54565          1405.85219         -1405.35226
             9.34010           109.10608           -62.79975        262945.27524       -262944.78674          1408.11218         -1407.61225
             9.35010           109.22253           -62.86699        263649.64659       -263649.15812          1410.37338         -1409.87345
             9.36010           109.33899           -62.93423        264355.14885       -264354.66041          1412.63579         -1412.13586
             9.37010           109.45545           -63.00146        265061.78261       -265061.29420          1414.89941         -1414.39947
             9.38010           109.57191           -63.06870        265769.54848       -265769.06010          1417.16424         -1416.66430
             9.39010           109.68836           -63.13594        266478.44707       -266477.95872          1419.43027         -1418.93033
             9.40010           109.80482           -63.20318        267188.47898       -267187.99066          1421.69751         -1421.19758
             9.41010           109.92128           -63.27041        267899.64481       -267899.15652          1423.96596         -1423.46602
             9.42010           110.03774           -63.33765        268611.94516       -268611.45690          1426.23561         -1425.73568
             9.43010           110.15419           -63.40489        269325.38064       -269324.89242          1428.50647         -1428.00653
             9.44010           110.27065           -63.47212        270039.95186       -270039.46366          1430.77853         -1430.27860
             9.45010           110.38711           -63.53936        270755.65940       -270755.17124          1433.05180         -1432.55186
             9.46010           110.50357           -63.60660        271472.50388       -271472.01575          1435.32627         -1434.82633
             9.47010           110.62002           -63.67383        272190.48589       -272189.99779          1437.60194         -1437.10200
             9.48010           110.73648           -63.74107        272909.60604       -272909.11797          1439.87881         -1439.37888
             9.49010           110.85294           -63.80831        273629.86493       -273629.37689          1442.15689         -1441.65695
             9.50010           110.96939           -63.87554        274351.26315       -274350.77514          1444.43616         -1443.93623
             9.51010           111.08585           -63.94278        275073.80131       -275073.31334          1446.71664         -1446.21670
             9.52010           111.20231           -64.01002        275797.48001       -275796.99207          1448.99831         -1448.49838
             9.53010           111.31877           -64.07726        276522.29985       -276521.81194          1451.28119         -1450.78125
             9.54010           111.43522           -64.14449        277248.26142       -277247.77354          1453.56526         -1453.06532
             9.55010           111.55168           -64.21173        277975.36533       -277974.87748          1455.85053         -1455.35059
             9.56010           111.66814           -64.27897        278703.61217       -278703.12435          1458.13699         -1457.63706
             9.57010           111.78460           -64.34620        279433.00254       -279432.51475          1460.42465         -1459.92472
             9.58010           111.90105           -64.41344        280163.53704       -280163.04929          1462.71351         -1462.21357
             9.59010           112.01751           -64.48068        280895.21627       -280894.72855          1465.00356         -1464.50363
             9.60010           112.13397           -64.54791        281628.04082       -281627.55313          1467.29481         -1466.79487
             9.61010           112.25043           -64.61515        282362.01130       -282361.52364          1469.58725         -1469.08731
             9.62010           112.36688           -64.68239        283097.12829       -283096.64067          1471.88088         -1471.38094
             9.63010           112.48334           -64.74963        283833.39240       -283832.90481          1474.17571         -1473.67577
             9.64010           112.59980           -64.81686        284570.80422       -284570.31666          1476.47172         -1475.97179
             9.65010           112.71626           -64.88410        285309.36434       -285308.87681          1478.76893         -1478.26899
             9.66010           112.83271           -64.95134        286049.07337       -286048.58587          1481.06733         -1480.56739
             9.67010           112.94917           -65.01857        286789.93189       -286789.44443          1483.36692         -1482.86698
             9.68010           113.06563           -65.08581        287531.94051       -287531.45308          1485.66770         -1485.16776
             9.69010           113.18209           -65.15305        288275.09981       -288274.61241          1487.96966         -1487.46973
             9.70010           113.29854           -65.22028        289019.41039       -289018.92302          1490.27282         -1489.77288
             9.71010           113.41500           -65.28752        289764.87285       -289764.38551          1492.57716         -1492.07722
             9.72010           113.53146           -65.35476        290511.48777       -290511.00047          1494.88269         -1494.38275
             9.73010           113.64792           -65.42199        291259.25575       -291258.76849          1497.18940         -1496.68947
             9.74010           113.76437           -65.48923        292008.17739       -292007.69016          1499.49731         -1498.99737
             9.75010           113.88083           -65.55647        292758.25328       -292757.76608          1501.80639         -1501.30646
             9.76010           113.99729           -65.62371        293509.48400       -293508.99683          1504.11666         -1503.61673
             9.77010           114.11374           -65.69094        294261.87016       -294261.38302          1506.42812         -1505.92818
             9.78010           114.23020           -65.75818        295015.41234       -295014.92524          1508.74075         -1508.24082
             9.79010           114.34666           -65.82542        295770.11113       -295769.62406          1511.05457         -1510.55464
             9.80010           114.46312           -65.89265        296525.96713       -296525.48010          1513.36958         -1512.86964
             9.81010           114.57957           -65.95989        297282.98093       -297282.49392          1515.68576         -1515.18583
             9.82010           114.69603           -66.02713        298041.15311       -298040.66614          1518.00312         -1517.50319
             9.83010           114.81249           -66.09436        298800.48427       -298799.99733          1520.32167         -1519.82174
             9.84010           114.92895           -66.16160        299560.97500       -299560.48810          1522.64139         -1522.14146
             9.85010           115.04540           -66.22884        300322.62589       -300322.13901          1524.96230         -1524.46236
             9.86010           115.16186           -66.29607        301085.43752       -301084.95068          1527.28438         -1526.78445
             9.87010           115.27832           -66.36331        301849.41048       -301848.92368          1529.60764         -1529.10770
             9.88010           115.39478           -66.43055        302614.54537       -302614.05860          1531.93207         -1531.43214
             9.89010           115.51123           -66.49779        303380.84278       -303380.35604          1534.25769         -1533.75776
             9.90010           115.62769           -66.56502        304148.30328       -304147.81658          1536.58448         -1536.08454
             9.91010           115.74415           -66.63226        304916.92747       -304916.44080          1538.91244         -1538.41251
             9.92010           115.86061           -66.69950        305686.71594       -305686.22931          1541.24158         -1540.74165
             9.93010           115.97706           -66.76673        306457.66928       -306457.18267          1543.57190         -1543.07196
             9.94010           116.09352           -66.83397        307229.78806       -307229.30149          1545.90338         -1545.40345
             9.95010           116.20998           -66.90121        308003.07288       -308002.58634          1548.23604         -1547.73611
             9.96010           116.32644           -66.96844        308777.52432       -308777.03782          1550.56988         -1550.06995
             9.97010           116.44289           -67.03568        309553.14297       -309552.65650          1552.90488         -1552.40495
             9.98010           116.55935           -67.10292        310329.92942       -310329.44299          1555.24106         -1554.74113
             9.99010           116.67581           -67.17015        311107.88425       -311107.39785          1557.57841         -1557.07847
            10.00010           116.79226           -67.23739        311887.00805       -311886.52168          1559.91692         -1559.41699
