	10	3.76E-03
	20	6.59E-03
	30	1.05E-02
	40	1.40E-02
	50	1.88E-02
	60	2.14E-02
	70	2.70E-02
	80	3.39E-02
	90	3.94E-02
	100	4.30E-02
	200	0.137
	300	0.304
	400	0.587
	500	0.964
	600	1.522
	700	2.31
	800	3.22
	900	4.497
	1000	5.938
