        nu_e/omega_T             omega_r             omega_i            omega1_r            omega1_i            omega2_r            omega2_i
            91.54508             0.85892            -0.26491             0.00000             0.00000             0.97265            -0.47265
            92.80777             0.86101            -0.26624             0.00000             0.00000             0.97589            -0.47589
            94.07046             0.86308            -0.26757             0.00000             0.00000             0.97912            -0.47912
            95.33315             0.86513            -0.26888             0.00000             0.00000             0.98233            -0.48233
            96.59584             0.86716            -0.27018             0.00000             0.00000             0.98551            -0.48551
            97.85853             0.86918            -0.27146             0.00000             0.00000             0.98867            -0.48867
            99.12122             0.87118            -0.27274             0.00000             0.00000             0.99182            -0.49182
           100.38391             0.87316            -0.27400             0.00000             0.00000             0.99494            -0.49494
           101.64660             0.87513            -0.27526             0.00000             0.00000             0.99804            -0.49804
           102.90930             0.87709            -0.27650             0.00000             0.00000             1.00112            -0.50112
           104.17199             0.87902            -0.27774             0.00000             0.00000             1.00419            -0.50419
           105.43468             0.88095            -0.27896             0.00000             0.00000             1.00724            -0.50724
           106.69737             0.88286            -0.28017             0.00000             0.00000             1.01026            -0.51026
           107.96006             0.88475            -0.28138             0.00000             0.00000             1.01328            -0.51328
           109.22275             0.88664            -0.28257             0.00000             0.00000             1.01627            -0.51627
           110.48544             0.88850            -0.28376             0.00000             0.00000             1.01924            -0.51924
           111.74813             0.89036            -0.28494             0.00000             0.00000             1.02220            -0.52220
           113.01082             0.89220            -0.28610             0.00000             0.00000             1.02514            -0.52514
           114.27351             0.89403            -0.28726             0.00000             0.00000             1.02807            -0.52807
           115.53620             0.89584            -0.28841             0.00000             0.00000             1.03098            -0.53098
           116.79889             0.89764            -0.28955             0.00000             0.00000             1.03387            -0.53387
           118.06158             0.89944            -0.29069             0.00000             0.00000             1.03675            -0.53675
           119.32427             0.90121            -0.29181             0.00000             0.00000             1.03961            -0.53961
           120.58697             0.90298            -0.29293             0.00000             0.00000             1.04246            -0.54246
           121.84966             0.90474            -0.29404             0.00000             0.00000             1.04529            -0.54529
           123.11235             0.90648            -0.29514             0.00000             0.00000             1.04811            -0.54811
           124.37504             0.90821            -0.29623             0.00000             0.00000             1.05092            -0.55092
           125.63773             0.90993            -0.29732             0.00000             0.00000             1.05371            -0.55371
           126.90042             0.91164            -0.29840             0.00000             0.00000             1.05648            -0.55648
           128.16311             0.91334            -0.29947             0.00000             0.00000             1.05924            -0.55924
           129.42580             0.91503            -0.30053             0.00000             0.00000             1.06199            -0.56199
           130.68849             0.91671            -0.30159             0.00000             0.00000             1.06473            -0.56473
           131.95118             0.91838            -0.30264             0.00000             0.00000             1.06745            -0.56745
           133.21387             0.92004            -0.30368             0.00000             0.00000             1.07016            -0.57016
           134.47656             0.92169            -0.30472             0.00000             0.00000             1.07285            -0.57285
           135.73925             0.92332            -0.30575             0.00000             0.00000             1.07553            -0.57553
           137.00195             0.92495            -0.30677             0.00000             0.00000             1.07821            -0.57821
           138.26464             0.92657            -0.30779             0.00000             0.00000             1.08086            -0.58086
           139.52733             0.92818            -0.30880             0.00000             0.00000             1.08351            -0.58351
           140.79002             0.92978            -0.30981             0.00000             0.00000             1.08614            -0.58614
           142.05271             0.93138            -0.31081             0.00000             0.00000             1.08877            -0.58877
           143.31540             0.93296            -0.31180             0.00000             0.00000             1.09138            -0.59138
           144.57809             0.93453            -0.31279             0.00000             0.00000             1.09398            -0.59398
           145.84078             0.93610            -0.31377             0.00000             0.00000             1.09657            -0.59657
           147.10347             0.93765            -0.31474             0.00000             0.00000             1.09914            -0.59914
           148.36616             0.93920            -0.31571             0.00000             0.00000             1.10171            -0.60171
           149.62885             0.94074            -0.31668             0.00000             0.00000             1.10426            -0.60426
           150.89154             0.94227            -0.31764             0.00000             0.00000             1.10681            -0.60681
           152.15423             0.94380            -0.31859             0.00000             0.00000             1.10934            -0.60934
           153.41692             0.94531            -0.31954             0.00000             0.00000             1.11186            -0.61186
           154.67962             0.94682            -0.32048             0.00000             0.00000             1.11438            -0.61438
           155.94231             0.94832            -0.32142             0.00000             0.00000             1.11688            -0.61688
           157.20500             0.94981            -0.32235             0.00000             0.00000             1.11937            -0.61937
           158.46769             0.95130            -0.32328             0.00000             0.00000             1.12185            -0.62185
           159.73038             0.95277            -0.32420             0.00000             0.00000             1.12433            -0.62433
           160.99307             0.95424            -0.32512             0.00000             0.00000             1.12679            -0.62679
           162.25576             0.95570            -0.32603             0.00000             0.00000             1.12924            -0.62924
           163.51845             0.95716            -0.32694             0.00000             0.00000             1.13169            -0.63169
           164.78114             0.95861            -0.32784             0.00000             0.00000             1.13412            -0.63412
           166.04383             0.96005            -0.32874             0.00000             0.00000             1.13655            -0.63655
           167.30652             0.96148            -0.32963             0.00000             0.00000             1.13896            -0.63896
           168.56921             0.96291            -0.33052             0.00000             0.00000             1.14137            -0.64137
           169.83190             0.96433            -0.33141             0.00000             0.00000             1.14377            -0.64377
           171.09460             0.96574            -0.33229             0.00000             0.00000             1.14616            -0.64616
           172.35729             0.96715            -0.33316             0.00000             0.00000             1.14854            -0.64854
           173.61998             0.96855            -0.33404             0.00000             0.00000             1.15091            -0.65091
           174.88267             0.96994            -0.33490             0.00000             0.00000             1.15327            -0.65327
           176.14536             0.97133            -0.33577             0.00000             0.00000             1.15562            -0.65562
           177.40805             0.97271            -0.33663             0.00000             0.00000             1.15797            -0.65797
           178.67074             0.97408            -0.33748             0.00000             0.00000             1.16031            -0.66031
           179.93343             0.97545            -0.33833             0.00000             0.00000             1.16264            -0.66264
           181.19612             0.97681            -0.33918             0.00000             0.00000             1.16496            -0.66496
           182.45881             0.97817            -0.34002             0.00000             0.00000             1.16727            -0.66727
           183.72150             0.97952            -0.34086             0.00000             0.00000             1.16957            -0.66957
           184.98419             0.98087            -0.34169             0.00000             0.00000             1.17187            -0.67187
           186.24688             0.98220            -0.34252             0.00000             0.00000             1.17416            -0.67416
